accession,protein_name,gene_name,tissue_specificity,Cerebellum,Midbrain,Thalamus,Lateral habenula,Hippocampus,Dentate gyrus,Basic cell groups and regions (grey),Lateral septal nucleus,Caudoputamen,Neocortex
A1A5B6,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1L3P4,Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Sodium/hydrogen exchanger) (Solute carrier family 9 member 6),Slc9a6 Nhe6,,-0.067199239,0.1294028,-0.587098832,0.009541341,-0.25495381,-0.140893707,0.31750439,-0.199523434,0.12317203,-0.162748786
A2A432,Cullin-4B (CUL-4B),Cul4b Kiaa0695,TISSUE SPECIFICITY: Expressed in oocytes (at protein level). {ECO:0000269|PubMed:24357321}.,0.038565428,-0.162955651,-0.450376604,-0.916894247,0.008029107,-0.029305765,-0.657186979,-0.152521364,0.154684485,0.205819008
A2A4P0,ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8),Dhx8,,1.190974865,0.714823873,1.110243676,0.226397516,0.980947026,0.641339321,0.940877141,-0.014723193,0.834917832,0.705079442
A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2),Arfgef2 Arfgep2 Big2,,0.182516179,0.418996633,0.369150637,0.053674699,0.210975973,0.234301795,-0.054345201,0.086524609,0.525640721,0.384337452
A2A690,"Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)",Tanc2 Kiaa1148,,-0.067534041,-0.188631838,-0.066282503,-0.256388751,-0.001734112,0.100411827,0.185900662,0.182990496,-0.070888446,-0.104453687
A2A699,Protein FAM171A2,Fam171a2,,0.160307086,0.456584466,0.409028314,1.069697268,0.22888026,0.577229824,0.105894724,0.529852884,-0.071858171,0.017908899
A2A6A1,G patch domain-containing protein 8,Gpatch8 Gpatc8 Kiaa0553,,-2.171585505,-3.105647034,-2.880415152,-2.204839092,-2.215738497,-1.855131027,-2.649554291,-4.026158201,-2.633237899,-2.8801602
A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,,-0.732480226,-0.258331982,-0.103597819,-0.717998969,-0.147694728,-0.877059872,0.276164859,-1.011221351,-0.36442801,-0.406148661
A2A6T1,Cerebellar degeneration-related protein 2-like,Cdr2l Gm21,,-1.03431404,-0.880937349,-1.010465842,-0.856583442,-1.133532304,-1.039322953,-0.954324016,-0.287350933,-0.959967738,-0.664943938
A2A791,Zinc finger MYM-type protein 4 (Zinc finger protein 262),Zmym4 Kiaa0425 Zfp262 Znf262,,0.255262702,0.323050993,-0.265285935,-0.021557173,0.399058996,0.314694492,-0.229128251,-0.110131801,0.328945122,0.22351535
A2A7S8,NHS-like protein 3,Nhsl3 Kiaa1522,,-0.847712066,-1.173569019,-0.392097002,-1.329376269,-0.851698399,-0.107709292,-0.722685376,-0.826672324,-1.453432697,-0.772973945
A2A863,Integrin beta-4 (CD antigen CD104),Itgb4,,-1.462208898,-1.263797135,-1.217356208,-0.78346698,-1.72099443,-1.994333992,-0.855612521,-0.998889126,-1.324209493,-1.844747762
A2A891,Calmodulin-binding transcription activator 1,Camta1 Kiaa0833,,-0.131565546,-0.54018154,0.013843021,-1.076701695,-0.04123427,-0.698224574,-0.160550984,-0.686138098,-0.637312814,-0.539110673
A2A8L1,ATP-dependent chromatin remodeler CHD5 (EC 3.6.4.-) (Chromo domain-containing protein 5) (CHD-5),Chd5 Kiaa0444,"TISSUE SPECIFICITY: Specifically expressed by neurons in brain, retina and adrenal gland (at protein level). Also detected in testis. {ECO:0000269|PubMed:21931736, ECO:0000269|PubMed:23948251, ECO:0000269|PubMed:24252660}.",-0.305901978,0.013726831,0.094309767,-0.218272864,-0.87880056,-0.261281683,-2.343483015,-0.798560891,-0.018710658,-0.178874727
A2A8L5,Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR),Ptprf Lar,TISSUE SPECIFICITY: Expressed in the cell of the T lineage but not in cells of any other hemopoietic lineage. {ECO:0000269|PubMed:11241288}.,-0.635000617,-0.768378792,-0.500183167,1.310288529,-0.495350544,-0.417220379,-0.397408334,-0.456342852,-0.675834227,-0.549910014
A2A8U2,Transmembrane protein 201 (Spindle-associated membrane protein 1),Tmem201 D4Ertd429e Net5 Samp1,,-0.071292009,-0.047733595,0.164852875,0.021892529,-0.061572472,-0.110735089,-0.569702356,0.506884261,-0.013423134,0.432168165
A2A8Z1,Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9),Osbpl9 Orp9,,-0.148622108,-0.003548159,0.256923708,-0.349488611,0.552485983,0.642203162,-0.086740535,0.719713072,0.047075596,0.000345012
